#Pos (steps),	Merit (a. u.)
-1458.0000	8.7834
-1358.0000	9.9117
-1258.0000	5.7335
-1358.0000	4.8664
-1388.0000	5.4246
-1418.0000	6.1630
-1420.0000	19.7601
-1422.0000	24.9012
-1424.0000	33.1725
-1426.0000	41.8004
-1428.0000	51.1622
-1430.0000	57.3681
-1432.0000	60.9914
-1434.0000	59.3117
-1436.0000	54.0919
-1438.0000	47.1995
-1448.0000	26.9159
-1458.0000	20.1223
-1468.0000	15.7963
-1568.0000	9.4187
-1578.0000	5.3295
-1582.0000	5.2935
-1592.0000	5.7021
-1602.0000	5.7364
-1612.0000	5.9280
-1622.0000	6.1186
-1632.0000	6.2233
-1642.0000	6.1603
-1652.0000	5.9784
-1662.0000	5.6069
-1672.0000	5.1609
-1682.0000	4.9321
-1692.0000	4.9355
-1702.0000	4.9865
-1712.0000	5.1837
-1722.0000	5.4787
-1732.0000	5.8158
-1742.0000	6.5536
-1752.0000	7.3718
-1762.0000	7.8044
-1772.0000	8.2035
-1782.0000	8.7250
-1792.0000	8.6094
-1802.0000	9.0275
-1812.0000	8.1530
-1822.0000	7.8112
-1832.0000	7.5220
-1842.0000	6.7711
-1852.0000	6.1143
-1862.0000	5.6061
-1872.0000	5.5074
-1882.0000	5.4479
