#Pos (steps),	Merit (a. u.)
-944.0000	5.2879
-974.0000	5.6288
-984.0000	6.6689
-994.0000	6.4579
-1004.0000	6.5286
-1014.0000	6.4920
-1024.0000	6.3495
-1034.0000	6.5485
-1036.0000	8.8289
-1038.0000	11.0953
-1040.0000	13.5499
-1042.0000	19.2847
-1044.0000	26.9837
-1046.0000	37.6837
-1048.0000	47.0581
-1050.0000	57.0972
-1052.0000	64.4508
-1054.0000	69.1191
-1055.0000	68.8195
-1056.0000	64.9342
-1066.0000	63.1785
-1076.0000	55.8988
-1086.0000	43.1230
-1096.0000	15.8917
-1106.0000	13.7309
-1116.0000	11.7636
-1126.0000	7.9863
-1136.0000	7.8274
-1146.0000	7.8039
-1156.0000	7.6609
-1166.0000	7.5860
-1176.0000	7.4385
-1186.0000	7.2574
-1196.0000	6.9424
-1206.0000	6.8741
-1216.0000	6.7645
-1226.0000	6.5634
-1236.0000	6.4366
-1246.0000	6.2919
-1256.0000	6.3585
-1266.0000	6.2297
-1276.0000	6.0524
-1176.0000	16.9679
-1076.0000	30.4272
-1106.0000	4.9995
-1136.0000	4.9617
-1166.0000	5.1518
-1196.0000	5.3698
-1206.0000	6.6051
-1216.0000	6.6592
-1226.0000	7.1434
-1236.0000	7.5856
-1246.0000	7.9578
-1256.0000	9.6521
-1266.0000	12.5601
-1268.0000	52.1808
-1270.0000	60.5843
-1272.0000	66.5221
-1274.0000	70.1387
-1276.0000	69.8029
-1278.0000	66.2376
-1288.0000	51.9991
-1298.0000	42.0115
-1308.0000	32.4300
-1318.0000	23.6161
-1328.0000	16.7883
-1338.0000	12.8002
-1348.0000	10.1124
-1358.0000	7.8860
-1368.0000	8.0946
-1378.0000	7.6630
-1388.0000	7.6456
-1398.0000	7.5568
-1408.0000	7.0828
-1418.0000	6.9158
-1428.0000	6.8771
-1438.0000	6.7275
-1448.0000	6.9198
