#Pos (steps),	Merit (a. u.)
-1880.0000	7.1507
-1850.0000	10.4971
-1840.0000	17.7341
-1830.0000	16.5396
-1820.0000	15.4795
-1810.0000	7.1820
-1800.0000	7.6802
-1790.0000	6.8168
-1780.0000	6.7931
-1810.0000	6.6444
-1812.0000	7.3465
-1814.0000	7.3373
-1816.0000	7.3095
-1818.0000	7.1860
-1820.0000	7.4447
-1822.0000	7.4774
-1824.0000	7.5198
-1826.0000	7.7699
-1828.0000	8.1728
-1830.0000	8.0061
-1832.0000	8.9029
-1834.0000	9.3150
-1836.0000	10.1501
-1838.0000	11.6344
-1840.0000	12.7849
-1842.0000	14.5443
-1844.0000	16.4570
-1846.0000	18.5776
-1848.0000	19.8604
-1850.0000	21.2488
-1852.0000	21.1314
-1854.0000	20.5657
-1856.0000	19.6017
-1858.0000	17.9057
-1860.0000	16.4202
-1862.0000	14.1199
-1864.0000	12.3256
-1866.0000	10.6897
-1868.0000	9.4332
-1870.0000	8.3470
