#Pos (steps),	Merit (a. u.)
75684.0000	5.3885
75784.0000	4.8910
75684.0000	4.6719
75584.0000	4.8759
75574.0000	5.5395
75564.0000	5.4536
75554.0000	5.7002
75544.0000	5.8493
75534.0000	5.9771
75524.0000	6.3771
75514.0000	6.9680
75504.0000	8.1961
75494.0000	10.7642
75484.0000	14.0787
75474.0000	18.4124
75464.0000	23.5847
75454.0000	28.9949
75444.0000	33.5470
75434.0000	36.5353
75424.0000	25.5216
75414.0000	20.7416
75404.0000	17.1921
75394.0000	14.3795
75294.0000	8.3931
75194.0000	4.8130
75294.0000	4.9207
75394.0000	4.8487
75404.0000	5.6340
75414.0000	5.7047
75424.0000	5.8111
75434.0000	5.7749
75444.0000	5.8006
75454.0000	5.8243
75464.0000	5.9293
75474.0000	5.9706
75484.0000	5.9658
75494.0000	6.0635
75504.0000	6.5355
75514.0000	7.0462
75524.0000	7.6738
75534.0000	8.7771
75544.0000	10.2643
75554.0000	12.3577
75564.0000	14.8703
75574.0000	17.9187
75584.0000	21.7614
75594.0000	25.4597
75604.0000	30.3029
75614.0000	33.6988
75624.0000	37.1250
75634.0000	37.9106
75644.0000	36.9440
75654.0000	32.8362
75664.0000	24.5620
75674.0000	8.4721
75684.0000	6.3379
75694.0000	6.2107
75794.0000	5.1794
75894.0000	4.7981
75794.0000	4.9277
75694.0000	4.6326
75684.0000	5.0072
75674.0000	5.0987
75644.0000	5.1477
75634.0000	5.7787
75624.0000	5.6669
75614.0000	5.5258
75604.0000	6.4664
75594.0000	7.5084
75584.0000	9.5133
75574.0000	12.1136
75564.0000	16.2790
75554.0000	20.7239
75544.0000	26.1536
75534.0000	30.8833
75524.0000	35.0418
75514.0000	37.7095
75504.0000	38.1674
75494.0000	35.5973
75484.0000	32.0576
75474.0000	13.5382
75464.0000	11.0314
75454.0000	9.1732
75354.0000	6.7844
75254.0000	4.8540
75354.0000	4.7403
75454.0000	5.0265
75484.0000	5.6341
75494.0000	8.5204
75504.0000	9.9554
75514.0000	12.2054
75524.0000	14.6892
75534.0000	17.7282
75544.0000	20.8630
75554.0000	25.4363
75564.0000	29.7840
75574.0000	33.5555
75584.0000	36.9355
75594.0000	34.6918
75604.0000	18.8490
75614.0000	14.6630
75624.0000	5.9672
75634.0000	5.8767
75734.0000	5.1248
75834.0000	4.7356
75734.0000	4.7565
75634.0000	4.8667
