#Pos (steps),	Merit (a. u.)
-3800.0000	70.6060
-3810.0000	71.2386
-3820.0000	72.4354
-3830.0000	76.3684
-3840.0000	85.2339
-3850.0000	95.1731
-3860.0000	104.5219
-3870.0000	111.5412
-3880.0000	112.6806
-3885.0000	110.4809
-3890.0000	110.8036
-3990.0000	61.6145
-4090.0000	57.3276
-4190.0000	56.0283
-4200.0000	85.4966
-4210.0000	86.5705
-4220.0000	84.8761
-4230.0000	83.3949
-4240.0000	78.7003
-4250.0000	80.0732
-4260.0000	82.5933
-4270.0000	82.5429
-4280.0000	82.7323
-4290.0000	78.8707
-4300.0000	70.2160
-4310.0000	64.8790
-4320.0000	62.0732
-4330.0000	55.8053
-4340.0000	55.1400
-4350.0000	33.7270
-4360.0000	23.9494
-4370.0000	21.4005
-4380.0000	21.9096
-4390.0000	23.1951
-4400.0000	19.9508
-4410.0000	20.0412
-4420.0000	24.7772
-4430.0000	19.6069
-4440.0000	24.2086
-4450.0000	67.2221
-4460.0000	30.4077
-4470.0000	50.7687
-4480.0000	54.2815
-4490.0000	40.0974
