#Pos (steps),	Merit (a. u.)
-120.0000	10.2650
-220.0000	10.0547
-320.0000	8.0820
-420.0000	6.6019
-520.0000	5.7847
-620.0000	5.3144
-720.0000	4.9023
-820.0000	4.7582
-830.0000	5.2473
-840.0000	5.0478
-850.0000	6.1779
-860.0000	5.7719
-870.0000	5.8342
-880.0000	11.1135
-890.0000	31.9665
-900.0000	30.2228
-910.0000	11.9349
-920.0000	6.3751
-930.0000	5.8315
-940.0000	2.1583
-950.0000	2.5514
-960.0000	2.8211
-970.0000	2.9459
-980.0000	2.9571
-990.0000	3.2709
-1000.0000	4.3718
-1010.0000	5.7603
-1020.0000	8.5970
-1030.0000	10.9789
-1040.0000	10.6878
-1050.0000	7.7008
-1060.0000	4.4833
-1070.0000	3.0584
-1080.0000	2.4684
-1090.0000	2.2747
-90.0000	4.1973
-190.0000	9.8658
-290.0000	9.0003
-390.0000	7.0480
-490.0000	5.9674
-590.0000	5.2523
-690.0000	4.9760
-790.0000	4.8398
-800.0000	4.9314
-810.0000	4.8587
-820.0000	5.2174
-830.0000	4.9581
-840.0000	5.2761
-850.0000	5.5184
-860.0000	6.4546
-870.0000	5.5767
-880.0000	6.2022
-890.0000	18.3195
-900.0000	36.5179
-910.0000	21.7638
-920.0000	9.0822
-930.0000	5.9696
-940.0000	2.1494
-950.0000	2.2872
-960.0000	2.5374
-970.0000	2.9489
-980.0000	2.9939
-990.0000	2.9556
-1000.0000	3.1669
-1010.0000	4.0923
-1020.0000	5.7593
-1030.0000	8.3366
-1040.0000	10.7447
-1050.0000	10.8338
-1060.0000	7.9159
-1070.0000	5.2485
-1080.0000	3.3102
-1090.0000	2.7297
-1100.0000	2.4826
-1110.0000	2.5004
-110.0000	8.7280
-210.0000	10.1139
-310.0000	8.7363
-410.0000	7.1079
-510.0000	5.9294
-610.0000	5.4712
-710.0000	4.9998
-810.0000	4.9421
-820.0000	5.0575
-830.0000	4.8874
-840.0000	5.1596
-850.0000	5.0596
-860.0000	5.1626
-870.0000	5.6134
-880.0000	6.3354
-890.0000	5.6973
-900.0000	8.6010
-910.0000	22.4294
-920.0000	37.0350
-930.0000	18.8761
-940.0000	6.1113
-950.0000	6.0879
-960.0000	5.7906
-970.0000	5.5090
-980.0000	2.5686
-990.0000	2.9506
-1000.0000	3.0072
-1010.0000	2.9340
-1020.0000	3.1683
-1030.0000	3.9272
-1040.0000	5.4002
-1050.0000	8.0194
-1060.0000	10.5348
-1070.0000	11.1828
-1080.0000	8.6261
-1090.0000	5.4370
-1100.0000	3.3472
