#Pos (steps),	Merit (a. u.)
-1280.0000	9.2054
-1310.0000	9.1864
-1340.0000	8.9382
-1370.0000	9.9868
-1400.0000	9.9977
-1300.0000	9.2715
-1200.0000	8.1214
-1100.0000	7.0666
-1000.0000	6.2481
-900.0000	5.5324
-800.0000	5.1695
-700.0000	6.2933
-600.0000	4.6302
-630.0000	4.6897
-660.0000	4.5164
-670.0000	5.7058
-680.0000	5.4734
-690.0000	5.3379
-660.0000	5.3772
-630.0000	5.4000
-640.0000	5.1949
-650.0000	5.2624
-660.0000	4.9140
-670.0000	5.1275
-680.0000	5.0583
-690.0000	5.1364
-700.0000	4.9478
-710.0000	4.9835
-720.0000	5.0512
-730.0000	5.6412
-740.0000	5.7257
-750.0000	5.5315
-760.0000	5.4994
-770.0000	5.5314
-780.0000	5.3696
-790.0000	5.2848
-800.0000	5.7996
-810.0000	5.7742
-815.0000	10.2624
-820.0000	12.8522
-825.0000	20.4647
-827.0000	29.4779
