#Pos (steps),	Merit (a. u.)
-1150.0000	14.9145
-1120.0000	14.8388
-1090.0000	15.0782
-1060.0000	14.7930
-1030.0000	14.8683
-1000.0000	15.0592
-970.0000	15.0971
-940.0000	15.2578
-910.0000	15.2180
-880.0000	15.2391
-850.0000	15.1178
-880.0000	14.9839
-910.0000	15.0810
-940.0000	15.0053
-970.0000	14.8448
-1000.0000	15.0176
-1030.0000	15.0214
-1130.0000	14.9560
-1230.0000	15.1338
-1330.0000	14.9151
-1430.0000	15.0963
-2430.0000	15.2339
-3430.0000	15.1694
-6430.0000	14.8463
-3430.0000	15.1874
-430.0000	15.1282
-1430.0000	15.0397
