#Pos (steps),	Merit (a. u.)
-3832.0000	36.1445
-3842.0000	36.1538
-3852.0000	36.3670
-3862.0000	36.5167
-3872.0000	36.7625
-3882.0000	37.4729
-3892.0000	37.1245
-3902.0000	36.3373
-3912.0000	36.5969
-3922.0000	36.7558
-3932.0000	37.4460
-3942.0000	37.7513
-3952.0000	36.9968
-3962.0000	38.1311
-3972.0000	38.7551
-3982.0000	39.8647
-3992.0000	42.4530
-4002.0000	46.7020
-4012.0000	50.1071
-4022.0000	54.3924
-4032.0000	59.5010
-4042.0000	60.7974
-4052.0000	61.8619
-4062.0000	59.3876
-4072.0000	55.4306
-4082.0000	51.3015
-4092.0000	47.6109
-4102.0000	45.3073
-4112.0000	41.0069
-4122.0000	40.2316
-4132.0000	38.7703
-4142.0000	37.9441
-4152.0000	190.2211
-4162.0000	191.8745
-4172.0000	196.4377
-4182.0000	191.9446
-4192.0000	200.9444
-4202.0000	204.5137
-4212.0000	212.5734
-4222.0000	222.1858
-4232.0000	229.7051
-4242.0000	237.2610
-4252.0000	253.6644
-4262.0000	256.2115
-4272.0000	267.5024
-4282.0000	270.5197
-4292.0000	271.9121
-4302.0000	276.3577
-4312.0000	269.0628
-4322.0000	249.2041
-4332.0000	239.9778
-4342.0000	262.5433
-4352.0000	252.2894
-4362.0000	236.2251
-4372.0000	213.4042
-4382.0000	196.8928
-4392.0000	185.8001
-3392.0000	143.7020
-3492.0000	8.4451
-3592.0000	8.6680
-3692.0000	7.5266
-3722.0000	15.3307
-3752.0000	14.6192
-3852.0000	17.3988
-3882.0000	59.7862
-3892.0000	58.7376
-3902.0000	58.3162
-3912.0000	58.3838
-3922.0000	60.3663
-3932.0000	61.6788
-3942.0000	65.5519
-3952.0000	65.2361
-3962.0000	65.1685
-3972.0000	64.9971
-3982.0000	66.5636
-3992.0000	68.3320
-4002.0000	71.4844
-4012.0000	75.2864
-4022.0000	82.1221
-4032.0000	85.9619
-4042.0000	87.5559
-4052.0000	87.5008
-4062.0000	83.5272
-4072.0000	78.5688
-4082.0000	72.5104
-4092.0000	64.9224
-4102.0000	63.4192
-4112.0000	58.7584
-4122.0000	57.2697
-4132.0000	55.8559
-3132.0000	70.7131
-3232.0000	70.3617
-3332.0000	68.6858
-3432.0000	66.7672
-3532.0000	68.6719
-3632.0000	64.2891
-3662.0000	61.2258
-3692.0000	61.5877
-3722.0000	61.3858
-3752.0000	64.7281
-3782.0000	68.7682
-3812.0000	68.3389
-3842.0000	67.8692
-3872.0000	67.6730
-3902.0000	65.9637
-3932.0000	65.2310
-3942.0000	58.7717
-3952.0000	57.7037
-3962.0000	57.1650
-3972.0000	57.6636
-3982.0000	59.1388
-3992.0000	60.4014
-4002.0000	64.0357
-4012.0000	71.2488
-4022.0000	76.9880
-4032.0000	83.2246
-4042.0000	87.4954
-4052.0000	86.2988
-4062.0000	84.2395
-4072.0000	81.5285
-4082.0000	77.7220
-4092.0000	72.8125
-4102.0000	70.0090
-4112.0000	67.6464
