#Pos (steps),	Merit (a. u.)
-3742.0000	97.1399
-3752.0000	98.4429
-3762.0000	97.5932
-3772.0000	97.7295
-3782.0000	98.6433
-3792.0000	98.8098
-3802.0000	98.9532
-3812.0000	98.7886
-3822.0000	99.5052
-3832.0000	99.3901
-3842.0000	99.8986
-3852.0000	99.8089
-3862.0000	100.2534
-3872.0000	100.0697
-3882.0000	100.0625
-3892.0000	100.8593
-3902.0000	100.3053
-3912.0000	100.8884
-3922.0000	102.2234
-3932.0000	101.1002
-3942.0000	101.1869
-3952.0000	102.5263
-3962.0000	105.1752
-3972.0000	106.7318
-3982.0000	110.1531
-3992.0000	116.8749
-4002.0000	121.1806
-4012.0000	126.6857
-4022.0000	130.2619
-4032.0000	128.6133
-4042.0000	127.2317
-4052.0000	120.7490
-4062.0000	117.8299
