#Pos (steps),	Merit (a. u.)
-3830.0000	34.9376
-3730.0000	68.2865
-3630.0000	34.3863
-3640.0000	34.4203
-3650.0000	34.7660
-3660.0000	34.7863
-3670.0000	34.4962
-3680.0000	36.0825
-3690.0000	38.5505
-3700.0000	42.6345
-3710.0000	46.8200
-3720.0000	52.1945
-3730.0000	59.2629
-3740.0000	65.8627
-3750.0000	69.6888
-3760.0000	70.8328
-3770.0000	70.5563
-3780.0000	65.7164
-3880.0000	170.2665
-3910.0000	193.5220
-3940.0000	234.4918
-3970.0000	292.2463
-4000.0000	333.4610
-4030.0000	331.9505
-4060.0000	273.9088
-4090.0000	216.6234
-4120.0000	168.8285
-4150.0000	141.7564
-4120.0000	136.8294
-4090.0000	149.3331
-4060.0000	181.3333
-4030.0000	228.6917
-4000.0000	291.1539
-3970.0000	312.3829
-3940.0000	305.6166
-3910.0000	264.6344
-3880.0000	215.1836
-3850.0000	192.6483
-3820.0000	166.7741
-3850.0000	161.3321
-3880.0000	169.6664
-3910.0000	201.3475
-3920.0000	214.5862
-3930.0000	230.9617
-3940.0000	245.4139
-3950.0000	262.9249
-3960.0000	282.4578
-3970.0000	296.5805
-3980.0000	315.1065
-3990.0000	325.1655
-3995.0000	332.4847
-4000.0000	333.5849
-4005.0000	332.6993
-4010.0000	334.9282
-4015.0000	314.3939
-4020.0000	310.6133
-4025.0000	309.5939
-4030.0000	301.6403
-4035.0000	294.3808
-4040.0000	287.0512
-4045.0000	282.7525
-4050.0000	274.8480
-3950.0000	39.2207
-3850.0000	41.8444
-3750.0000	75.6404
-3720.0000	101.8007
-3690.0000	101.5839
-3700.0000	96.6565
-3710.0000	95.8340
-3720.0000	95.8509
-3730.0000	98.0683
-3740.0000	105.0106
-3750.0000	107.7713
-3760.0000	105.5305
-4000.0000	38.9622
