#Pos (steps),	Merit (a. u.)
-3220.0000	89.4730
-3230.0000	87.8108
-3240.0000	88.1619
-3250.0000	89.0434
-3260.0000	85.5646
-3270.0000	87.1391
-3280.0000	85.6540
-3290.0000	87.6606
-3300.0000	86.6810
-3310.0000	86.9824
-3320.0000	86.4189
-3330.0000	85.8397
-3360.0000	86.0928
-3370.0000	87.0558
-3380.0000	86.4471
-3390.0000	86.5417
-3400.0000	86.7283
-3410.0000	85.9575
-3420.0000	85.7050
-3430.0000	84.7704
-3440.0000	85.5493
-3450.0000	84.5358
-3460.0000	85.9683
-3470.0000	84.3557
-3500.0000	86.3332
-3530.0000	86.6009
-3560.0000	86.8161
-3590.0000	86.1577
-3620.0000	85.4054
-3650.0000	85.0508
-3660.0000	84.8000
-3670.0000	84.8502
-3680.0000	87.0071
-3690.0000	86.9084
-3700.0000	87.9881
-3710.0000	88.5642
-3720.0000	92.5356
-3730.0000	93.4942
-3740.0000	91.9604
-3750.0000	91.8922
-3760.0000	89.6715
-3770.0000	87.8396
-3870.0000	80.9865
-3970.0000	78.9202
-4000.0000	77.2219
-4030.0000	76.9360
-4040.0000	77.2113
-4070.0000	102.0596
-4100.0000	88.7174
-4130.0000	61.6036
-4160.0000	56.7720
-4190.0000	60.6916
-4220.0000	53.4404
-4250.0000	66.4851
-4280.0000	93.3284
-4310.0000	114.1108
-4340.0000	123.6052
-4370.0000	132.4276
-4400.0000	133.5861
-4430.0000	129.6911
-4460.0000	125.3343
-4490.0000	121.8669
-4520.0000	118.8037
-4550.0000	114.1931
-4580.0000	126.1728
-4610.0000	140.2986
-4640.0000	146.0000
-4670.0000	138.4034
-14670.0000	122.5206
-24670.0000	113.7787
-34670.0000	113.7717
-134670.0000	51.8111
